pid	region	time	value
1	hpc	164	0.251
1	hpc	165	0.155
1	hpc	166	0.139
1	hpc	167	0.464
1	hpc	168	0.442
1	hpc	169	0.298
1	hpc	170	0.789
1	hpc	171	0.142
1	hpc	172	0.063
1	hpc	173	0.032
1	hpc	174	0.576
1	hpc	175	0.448
1	hpc	176	0.742
1	hpc	177	0.472
1	hpc	178	0.276
1	hpc	179	0.717
1	hpc	180	0.035
1	hpc	181	0.859
1	hpc	182	0.166
1	hpc	183	0.556
1	hpc	184	0.844
1	hpc	185	0.836
1	hpc	186	0.347
1	hpc	187	0.154
1	hpc	188	0.936
1	hpc	189	0.286
1	hpc	190	0.851
1	hpc	191	0.033
1	hpc	192	0.838
1	hpc	193	0.733
1	hpc	194	0.125
1	hpc	195	0.373
1	hpc	196	0.281
1	hpc	197	0.577
1	hpc	198	0.357
1	hpc	199	0.262
1	hpc	200	0.806
1	hpc	201	0.952
1	hpc	202	0.757
1	hpc	203	0.097
1	hpc	204	0.359
1	hpc	205	0.722
1	hpc	206	0.954
1	hpc	207	0.73
1	hpc	208	0.311
1	hpc	209	0.619
1	hpc	210	0.352
1	hpc	211	0.803
1	hpc	212	0.096
1	hpc	213	0.423
1	hpc	214	0.962
1	hpc	215	0.705
1	hpc	216	0.546
1	hpc	217	0.354
1	hpc	218	0.423
1	hpc	219	0.063
1	hpc	220	0.746
1	hpc	221	0.48
1	hpc	222	0.013
1	hpc	223	0.358
1	hpc	224	0.934
1	hpc	225	0.685
1	hpc	226	0.948
1	hpc	227	0.356
1	hpc	228	0.289
1	hpc	229	0.821
1	hpc	230	0.322
1	hpc	231	0.197
1	hpc	232	0.306
1	hpc	233	0.148
1	hpc	234	0.116
1	hpc	235	0.478
1	hpc	236	0.412
1	hpc	237	0.918
1	hpc	238	0.717
1	hpc	239	0.437
1	hpc	240	0.535
1	hpc	241	0.526
1	hpc	242	0.041
1	hpc	243	0.684
1	hpc	244	0.671
1	hpc	245	0.637
1	hpc	246	0.015
1	hpc	247	0.997
1	hpc	248	0.365
1	hpc	249	0.779
1	hpc	250	0.687
1	hpc	251	0.948
1	hpc	252	0.615
1	hpc	253	0.962
1	hpc	254	0.401
1	hpc	255	0.37
1	hpc	256	0.254
1	hpc	257	0.481
1	hpc	258	0.121
1	hpc	259	0.969
1	hpc	260	0.128
1	hpc	261	0.544
1	hpc	262	0.577
1	hpc	263	0.231
1	hpc	264	0.005
1	hpc	265	0.624
1	hpc	266	0.842
1	hpc	267	0.801
1	hpc	268	0.533
1	hpc	269	0.767
1	hpc	270	0.805
1	hpc	271	0.397
1	hpc	272	0.887
1	hpc	273	0.769
1	hpc	274	0.721
1	hpc	275	0.15
1	hpc	276	0.63
1	hpc	277	0.703
1	hpc	278	0.308
1	hpc	279	0.457
1	hpc	280	0.67
1	hpc	281	0.204
1	hpc	282	0.241
1	hpc	283	0.63
1	hpc	284	0.265
1	hpc	285	0.647
1	hpc	286	0.336
1	hpc	287	0.966
1	hpc	288	0.78
1	hpc	289	0.52
1	hpc	290	0.98
1	hpc	291	0.424
1	hpc	292	0.755
1	hpc	293	0.086
1	hpc	294	0.728
1	hpc	295	0.077
1	hpc	296	0.072
1	hpc	297	0.319
1	hpc	298	0.741
1	hpc	299	0.129
1	hpc	300	0.743
1	hpc	301	0.855
1	hpc	302	0.788
1	hpc	303	0.872
1	hpc	304	0.105
1	hpc	305	0.351
1	hpc	306	0.34
1	hpc	307	0.131
1	hpc	308	0.917
1	hpc	309	0.129
1	hpc	310	0.196
1	hpc	311	0.488
1	hpc	312	0.393
1	hpc	313	0.584
1	hpc	314	0.88
1	hpc	315	0.537
1	hpc	316	0.306
1	hpc	317	0.214
1	hpc	318	0.124
1	hpc	319	0.706
1	hpc	320	0.352
1	hpc	321	0.696
1	hpc	322	0.531
1	hpc	323	0.251
1	hpc	324	0.059
1	hpc	325	0.202
1	hpc	326	0.728
1	hpc	327	0.886
1	hpc	328	0.856
1	hpc	329	0.07
1	hpc	330	0.193
1	hpc	331	0.942
1	hpc	332	0.203
1	hpc	333	0.847
1	hpc	334	0.773
1	hpc	335	0.164
1	hpc	336	0.214
1	hpc	337	0.522
1	hpc	338	0.96
1	hpc	339	0.1
1	hpc	340	0.674
1	hpc	341	0.998
1	hpc	342	0.864
1	hpc	343	0.886
1	hpc	344	0.867
1	hpc	345	0.214
1	hpc	346	0.042
1	hpc	347	0.882
1	hpc	348	0.842
1	hpc	349	0.032
1	hpc	350	0.667
1	hpc	351	0.506
1	hpc	352	0.382
1	hpc	353	0.267
1	hpc	354	0.684
1	hpc	355	0.62
1	hpc	356	0.878
1	hpc	357	0.928
1	hpc	358	0.391
1	hpc	359	0.364
1	hpc	360	0.017
1	hpc	361	0.527
1	hpc	362	0.345
1	hpc	363	0.48
1	hpc	364	0.1
1	hpc	365	0.14
1	hpc	366	0.268
1	hpc	367	0.329
1	hpc	368	0.212
1	hpc	369	0.148
1	hpc	370	0.797
1	hpc	371	0.234
1	hpc	372	0.733
1	hpc	373	0.704
1	hpc	374	0.758
1	hpc	375	0.675
1	hpc	376	0.078
1	hpc	377	0.252
1	hpc	378	0.146
1	hpc	379	0.932
1	hpc	380	0.624
1	hpc	381	0.678
1	hpc	382	0.084
1	hpc	383	0.603
1	hpc	384	0.006
1	hpc	385	0.111
1	hpc	386	0.333
1	hpc	387	0.397
1	hpc	388	0.836
1	hpc	389	0.624
1	hpc	390	0.658
1	hpc	391	0.969
1	hpc	392	0.387
1	hpc	393	0.654
1	hpc	394	0.548
1	hpc	395	0.476
1	hpc	396	0.682
1	hpc	397	0.341
1	hpc	398	0.162
1	hpc	399	0.894
1	hpc	400	0.262
1	hpc	401	0.279
1	hpc	402	0.362
1	hpc	403	0.81
1	hpc	404	0.906
1	hpc	405	0.635
1	hpc	406	0.272
1	hpc	407	0.376
1	hpc	408	0.005
1	hpc	409	0.76
1	hpc	410	0.687
1	hpc	411	0.037
1	hpc	412	0.429
1	hpc	413	0.55
1	hpc	414	0.743
1	hpc	415	0.11
1	hpc	416	0.675
1	hpc	417	0.434
1	hpc	418	0.749
1	hpc	419	0.281
1	hpc	420	0.85
1	hpc	421	0.882
1	hpc	422	0.392
1	hpc	423	0.3
1	hpc	424	0.845
1	hpc	425	0.468
1	hpc	426	0.626
1	hpc	427	0.607
1	hpc	428	0.771
1	hpc	429	0.715
1	hpc	430	0.852
1	hpc	431	0.875
1	hpc	432	0.136
1	hpc	433	0.956
1	hpc	434	0.028
1	hpc	435	0.085
1	hpc	436	0.194
1	hpc	437	0.028
1	hpc	438	0.404
1	hpc	439	0.333
1	hpc	440	0.839
1	hpc	441	0.076
1	hpc	442	0.998
1	hpc	443	0.589
1	hpc	444	0.511
1	hpc	445	0.911
1	hpc	446	0.278
1	hpc	447	0.557
1	hpc	448	0.78
1	hpc	449	0.991
1	hpc	450	0.18
1	hpc	451	0.9
1	hpc	452	0.517
1	hpc	453	0.903
1	hpc	454	0.896
1	hpc	455	0.778
1	hpc	456	0.353
1	hpc	457	0.589
1	hpc	458	0.339
1	hpc	459	0.849
1	hpc	460	0.742
1	hpc	461	0.812
1	hpc	462	0.239
1	hpc	463	0.223
1	hpc	464	0.172
1	hpc	465	0.702
1	hpc	466	0.564
1	hpc	467	0.025
1	hpc	468	0.772
1	hpc	469	0.135
1	hpc	470	0.617
1	hpc	471	0.998
1	hpc	472	0.26
1	hpc	473	0.387
1	hpc	474	0.605
1	hpc	475	0.696
1	hpc	476	0.574
1	hpc	477	0.185
1	hpc	478	0.776
1	hpc	479	0.74
1	hpc	480	0.729
1	hpc	481	0.221
1	hpc	482	0.425
1	hpc	483	0.002
1	hpc	484	0.463
1	hpc	485	0.553
1	hpc	486	0.332
1	hpc	487	0.269
1	hpc	488	0.533
1	hpc	489	0.878
1	hpc	490	0.18
1	hpc	491	0.264
1	hpc	492	0.647
1	hpc	493	0.189
1	hpc	494	0.737
1	hpc	495	0.696
1	hpc	496	0.638
1	hpc	497	0.92
1	hpc	498	0.814
1	hpc	499	0.777
1	hpc	500	0.868
1	hpc	501	0.495
1	hpc	502	0.608
1	hpc	503	0.29
1	hpc	504	0.315
1	hpc	505	0.347
1	hpc	506	0.529
1	hpc	507	0.415
1	hpc	508	0.048
1	hpc	509	0.08
1	hpc	510	0.229
1	hpc	511	0.421
1	hpc	512	0.405
1	hpc	513	0.963
1	hpc	514	0.015
1	hpc	515	0.979
1	hpc	516	0.661
1	hpc	517	0.881
1	hpc	518	0.111
1	hpc	519	0.761
1	hpc	520	0.302
1	hpc	521	0.502
1	hpc	522	0.539
1	hpc	523	0.613
1	hpc	524	0.411
1	hpc	525	0.749
1	hpc	526	0.627
1	hpc	527	0.882
1	hpc	528	0.106
1	hpc	529	0.538
1	hpc	530	0.074
1	hpc	531	0.59
1	hpc	532	0.358
1	hpc	533	0.561
1	hpc	534	0.947
1	hpc	535	0.098
1	hpc	536	0.192
1	hpc	537	0.381
1	hpc	538	0.158
1	hpc	539	0.322
1	hpc	540	0.654
1	hpc	541	0.522
1	hpc	542	0.688
1	hpc	543	0.915
1	hpc	544	0.307
1	hpc	545	0.433
1	hpc	546	0.943
1	hpc	547	0.811
1	hpc	548	0.911
1	hpc	549	0.886
1	hpc	550	0.737
1	hpc	551	0.08
1	hpc	552	0.197
1	hpc	553	0.847
1	hpc	554	0.949
1	hpc	555	0.774
1	hpc	556	0.726
1	hpc	557	0.702
1	hpc	558	0.992
1	hpc	559	0.236
1	hpc	560	0.024
1	hpc	561	0.18
1	hpc	562	0.626
1	hpc	563	0.01
1	hpc	564	0.216
1	hpc	565	0.554
1	hpc	566	0.491
1	hpc	567	0.719
1	hpc	568	0.404
1	hpc	569	0.148
1	hpc	570	0.755
1	hpc	571	0.593
1	hpc	572	0.258
1	hpc	573	0.56
1	hpc	574	0.295
1	hpc	575	0.26
1	hpc	576	0.159
1	hpc	577	0.242
1	hpc	578	0.364
1	hpc	579	0.856
1	hpc	580	0.609
1	hpc	581	0.52
1	hpc	582	0.679
1	hpc	583	0.232
1	hpc	584	0.263
1	hpc	585	0.246
1	hpc	586	0.258
1	hpc	587	0.111
1	hpc	588	0.355
1	hpc	589	0.832
1	hpc	590	0.688
1	hpc	591	0.054
1	hpc	592	0.929
1	hpc	593	0.272
1	hpc	594	0.345
1	hpc	595	0.034
1	hpc	596	0.319
1	hpc	597	0.607
1	hpc	598	0.854
1	hpc	599	0.44
1	hpc	600	0.142
1	hpc	601	0.244
1	hpc	602	0.195
1	hpc	603	0.709
1	hpc	604	0.451
1	hpc	605	0.534
1	hpc	606	0.833
1	hpc	607	0.492
1	hpc	608	0.132
1	hpc	609	0.388
1	hpc	610	0.77
1	hpc	611	0.695
1	hpc	612	0.298
1	hpc	613	0.459
1	hpc	614	0.812
1	hpc	615	0.791
1	hpc	616	0.489
1	hpc	617	0.494
1	hpc	618	0.365
1	hpc	619	0.067
1	hpc	620	0.617
1	hpc	621	0.055
1	hpc	622	0.976
1	hpc	623	0.933
1	hpc	624	0.163
1	hpc	625	0.608
1	hpc	626	0.85
1	hpc	627	0.081
1	hpc	628	0.073
1	hpc	629	0.74
1	hpc	630	0.293
1	hpc	631	0.683
1	hpc	632	0.495
1	hpc	633	0.977
1	hpc	634	0.189
1	hpc	635	0.904
1	hpc	636	0.933
1	hpc	637	0.074
1	hpc	638	0.511
1	hpc	639	0.233
1	hpc	640	0.91
1	hpc	641	0.988
1	hpc	642	0.454
1	hpc	643	0.064
1	hpc	644	0.996
1	hpc	645	0.853
1	hpc	646	0.313
1	hpc	647	0.253
1	hpc	648	0.051
1	hpc	649	0.523
1	hpc	650	0.486
1	hpc	651	0.987
1	hpc	652	0.79
1	hpc	653	0.125
1	hpc	654	0.907
1	hpc	655	0.521
1	hpc	656	0.829
1	hpc	657	0.262
1	hpc	658	0.215
1	hpc	659	0.427
1	hpc	660	0.141
1	hpc	661	0.025
1	hpc	662	0.999
1	hpc	663	0.037
1	hpc	664	0.813
1	hpc	665	0.733
1	hpc	666	0.592
1	hpc	667	0.422
1	hpc	668	0.231
1	hpc	669	0.229
1	hpc	670	0.107
1	hpc	671	0.561
1	hpc	672	0.589
1	hpc	673	0.234
1	hpc	674	0.423
1	hpc	675	0.639
1	hpc	676	0.901
1	hpc	677	0.542
1	hpc	678	0.033
1	hpc	679	0.906
1	hpc	680	0.988
1	hpc	681	0.675
1	hpc	682	0.604
1	hpc	683	0.316
1	hpc	684	0.851
1	hpc	685	0.999
1	hpc	686	0.457
1	hpc	687	0.297
1	hpc	688	0.734
1	hpc	689	0.794
1	hpc	690	0.65
1	hpc	691	0.485
1	hpc	692	0.393
1	hpc	693	0.585
1	hpc	694	0.927
1	hpc	695	0.591
1	hpc	696	0.5
1	hpc	697	0.431
1	hpc	698	0.276
1	hpc	699	0.324
1	hpc	700	0.294
1	hpc	701	0.27
1	hpc	702	0.477
1	hpc	703	0.533
1	hpc	704	0.961
1	hpc	705	0.416
1	hpc	706	0.039
1	hpc	707	0.443
1	hpc	708	0.285
1	hpc	709	0.122
1	hpc	710	0.876
1	hpc	711	0.52
1	hpc	712	0.551
1	hpc	713	0.943
1	hpc	714	0.508
1	hpc	715	0.056
1	hpc	716	0.278
1	hpc	717	0.204
1	hpc	718	0.952
1	hpc	719	0.037
1	hpc	720	0.809
1	hpc	721	0.61
1	hpc	722	0.945
1	hpc	723	0.137
1	hpc	724	0.727
1	hpc	725	0.797
1	hpc	726	0.926
1	hpc	727	0.354
1	hpc	728	0.694
1	hpc	729	0.525
1	hpc	730	0.682
1	hpc	731	0.877
1	hpc	732	0.822
1	hpc	733	0.306
1	hpc	734	0.089
1	hpc	735	0.342
1	hpc	736	0.859
1	hpc	737	0.099
1	hpc	738	0.33
1	hpc	739	0.134
1	hpc	740	0.989
1	hpc	741	0.122
1	hpc	742	0.599
1	hpc	743	0.417
1	hpc	744	0.465
1	hpc	745	0.046
1	hpc	746	0.264
1	hpc	747	0.079
1	hpc	748	0.067
1	hpc	749	0.34
1	hpc	750	0.085
1	hpc	751	0.702
1	hpc	752	0.491
1	hpc	753	0.111
1	hpc	754	0.75
1	hpc	755	0.687
1	hpc	756	0.788
1	hpc	757	0.167
1	hpc	758	0.549
1	hpc	759	0.82
1	hpc	760	0.522
1	hpc	761	0.316
1	hpc	762	0.397
1	hpc	763	0.013
1	hpc	764	0.456
1	hpc	765	0.248
1	hpc	766	0.785
1	hpc	767	0.424
1	hpc	768	0.256
1	hpc	769	0.856
1	hpc	770	0.854
1	hpc	771	0.418
1	hpc	772	0.716
1	hpc	773	0.733
1	hpc	774	0.945
1	hpc	775	0.93
1	hpc	776	0.179
1	hpc	777	0.9
1	hpc	778	0.299
1	hpc	779	0.819
1	hpc	780	0.608
1	hpc	781	0.717
1	hpc	782	0.762
1	hpc	783	0.429
1	hpc	784	0.532
1	hpc	785	0.534
1	hpc	786	0.353
1	hpc	787	0.144
1	hpc	788	0.994
1	hpc	789	0.174
1	hpc	790	0.864
1	hpc	791	0.562
1	hpc	792	0.184
1	hpc	793	0.065
1	hpc	794	0.424
1	hpc	795	0.949
1	hpc	796	0.269
1	hpc	797	0.61
1	hpc	798	0.018
1	hpc	799	0.301
1	hpc	800	0.363
1	hpc	801	0.897
1	hpc	802	0.278
1	hpc	803	0.364
1	hpc	804	0.79
1	hpc	805	0.237
1	hpc	806	0.635
1	hpc	807	0.24
1	hpc	808	0.94
1	hpc	809	0.185
1	hpc	810	0.615
1	hpc	811	0.146
1	hpc	812	0.845
1	hpc	813	0.863
1	hpc	814	0.74
1	hpc	815	0.58
1	hpc	816	0.591
1	hpc	817	0.736
1	hpc	818	0.651
1	hpc	819	0.232
1	hpc	820	0.276
1	hpc	821	0.288
1	hpc	822	0.028
1	hpc	823	0.934
1	hpc	824	0.725
1	hpc	825	0.163
1	hpc	826	0.837
1	hpc	827	0.084
1	hpc	828	0.113
1	hpc	829	0.123
1	hpc	830	0.66
1	hpc	831	0.711
1	hpc	832	0.501
1	hpc	833	0.562
1	hpc	834	0.153
1	hpc	835	0.528
1	hpc	836	0.309
1	hpc	837	0.166
1	hpc	838	0.144
1	hpc	839	0.852
1	hpc	840	0.813
1	hpc	841	0.995
1	hpc	842	0.274
1	hpc	843	0.701
1	hpc	844	0.14
1	hpc	845	0.914
1	hpc	846	0.299
1	hpc	847	0.321
1	hpc	848	0.972
1	hpc	849	0.809
1	hpc	850	0.571
1	hpc	851	0.038
1	hpc	852	0.624
1	hpc	853	0.037
1	hpc	854	0.131
1	hpc	855	0.117
1	hpc	856	0.725
1	hpc	857	0.826
1	hpc	858	0.794
1	hpc	859	0.686
1	hpc	860	0.921
1	hpc	861	0.353
1	hpc	862	0.803
1	hpc	863	0.053
1	hpc	864	0.99
1	hpc	865	0.282
1	hpc	866	0.867
1	hpc	867	0.053
1	hpc	868	0.294
1	hpc	869	0.123
1	hpc	870	0.753
1	hpc	871	0.553
1	hpc	872	0.169
1	hpc	873	0.904
1	hpc	874	0.42
1	hpc	875	0.367
1	hpc	876	0.187
1	hpc	877	0.942
1	hpc	878	0.075
1	hpc	879	0.391
1	hpc	880	0.459
1	hpc	881	0.444
1	hpc	882	0.673
1	hpc	883	0.707
1	hpc	884	0.598
1	hpc	885	0.723
1	hpc	886	0.233
1	hpc	887	0.887
1	hpc	888	0.022
1	hpc	889	0.081
1	hpc	890	0.728
1	hpc	891	0.537
1	hpc	892	0.066
1	hpc	893	0.182
1	hpc	894	0.05
1	hpc	895	0.23
1	hpc	896	0.186
1	hpc	897	0.455
1	hpc	898	0.358
1	hpc	899	0.811
1	hpc	900	0.708
1	hpc	901	0.109
1	hpc	902	0.188
1	hpc	903	0.122
1	hpc	904	0.703
1	hpc	905	0.942
1	hpc	906	0.166
1	hpc	907	0.933
1	hpc	908	0.311
1	hpc	909	0.869
1	hpc	910	0.319
1	hpc	911	0.521
1	hpc	912	0.356
1	hpc	913	0.094
1	hpc	914	0.95
1	hpc	915	0.862
1	hpc	916	0.145
1	hpc	917	0.413
1	hpc	918	0.375
1	hpc	919	0.217
1	hpc	920	0.877
1	hpc	921	0.62
1	hpc	922	0.283
1	hpc	923	0.722
1	hpc	924	0.265
1	hpc	925	0.359
1	hpc	926	0.698
1	hpc	927	0.463
1	hpc	928	0.889
1	hpc	929	0.762
1	hpc	930	0.079
1	hpc	931	0.555
1	hpc	932	0.959
1	hpc	933	0.388
1	hpc	934	0.458
1	hpc	935	0.981
1	hpc	936	0.923
1	hpc	937	0.976
1	hpc	938	0.18
1	hpc	939	0.371
1	hpc	940	0.175
1	hpc	941	0.341
1	hpc	942	0.026
1	hpc	943	0.366
1	hpc	944	0.224
1	hpc	945	0.803
1	hpc	946	0.163
1	hpc	947	0.458
1	hpc	948	0.876
1	hpc	949	0.257
1	hpc	950	0.062
1	hpc	951	0.942
1	hpc	952	0.969
1	hpc	953	0.629
1	hpc	954	0.988
1	hpc	955	0.433
1	hpc	956	0.537
1	hpc	957	0.316
1	hpc	958	0.5
1	hpc	959	0.895
1	hpc	960	0.632
1	hpc	961	0.556
1	hpc	962	0.092
1	hpc	963	0.483
1	hpc	964	0.981
1	hpc	965	0.534
1	hpc	966	0.186
1	hpc	967	0.858
1	hpc	968	0.404
1	hpc	969	0.44
1	hpc	970	0.527
1	hpc	971	0.011
1	hpc	972	0.981
1	hpc	973	0.189
1	hpc	974	0.337
1	hpc	975	0.452
1	hpc	976	0.356
1	hpc	977	0.636
1	hpc	978	0.134
1	hpc	979	0.411
1	hpc	980	0.566
1	hpc	981	0.971
1	hpc	982	0.535
1	hpc	983	0.014
1	hpc	984	0.724
1	hpc	985	0.305
1	hpc	986	0.106
1	hpc	987	0.579
1	hpc	988	0.714
1	hpc	989	0.65
1	hpc	990	0.362
1	hpc	991	0.113
1	hpc	992	0.389
1	hpc	993	0.45
1	hpc	994	0.437
1	hpc	995	0.62
1	hpc	996	0.109
1	hpc	997	0.101
1	hpc	998	0.362
1	hpc	999	0.235
1	hpc	1000	0.458
1	hpc	1001	0.278
1	hpc	1002	0.405
1	hpc	1003	0.413
1	hpc	1004	0.54
1	hpc	1005	0.234
1	hpc	1006	0.245
1	hpc	1007	0.547
1	hpc	1008	0.923
1	hpc	1009	0.629
1	hpc	1010	0.842
1	hpc	1011	0.1
1	hpc	1012	0.237
1	hpc	1013	0.88
1	hpc	1014	0.4
1	hpc	1015	0.726
1	hpc	1016	0.165
1	hpc	1017	0.712
1	hpc	1018	0.825
1	hpc	1019	0.268
1	hpc	1020	0.75
1	hpc	1021	0.717
1	hpc	1022	0.987
1	hpc	1023	0.517
1	hpc	1024	0.332
1	hpc	1025	0.664
1	hpc	1026	0.292
1	hpc	1027	0.968
1	hpc	1028	0.438
1	hpc	1029	0.554
1	hpc	1030	0.311
1	hpc	1031	0.344
1	hpc	1032	0.126
1	hpc	1033	0.386
1	hpc	1034	0.643
1	hpc	1035	0.843
1	hpc	1036	0.659
1	hpc	1037	0.29
1	hpc	1038	0.256
1	hpc	1039	0.769
1	hpc	1040	0.718
1	hpc	1041	0.157
1	hpc	1042	0.287
1	hpc	1043	0.088
1	hpc	1044	0.276
1	hpc	1045	0.105
1	hpc	1046	0.937
1	hpc	1047	1
1	hpc	1048	0.378
1	hpc	1049	0.44
1	hpc	1050	0.231
1	hpc	1051	0.738
1	hpc	1052	0.034
1	hpc	1053	0.054
1	hpc	1054	0.027
1	hpc	1055	0.469
1	hpc	1056	0.407
1	hpc	1057	0.386
1	hpc	1058	0.931
1	hpc	1059	0.538
1	hpc	1060	0.424
1	hpc	1061	0.056
1	hpc	1062	0.049
1	hpc	1063	0.419
1	hpc	1064	0.565
1	hpc	1065	0.434
1	hpc	1066	0.75
1	hpc	1067	0.02
1	hpc	1068	0.864
1	hpc	1069	0.905
1	hpc	1070	0.595
1	hpc	1071	0.745
1	hpc	1072	0.441
1	hpc	1073	0.59
1	hpc	1074	0.594
1	hpc	1075	0.02
1	hpc	1076	0.305
1	hpc	1077	0.64
1	hpc	1078	0.534
1	hpc	1079	0.078
1	hpc	1080	0.936
1	hpc	1081	0.092
1	hpc	1082	0.567
1	hpc	1083	0.22
1	hpc	1084	0.76
1	hpc	1085	0.081
1	hpc	1086	0.541
1	hpc	1087	0.614
1	hpc	1088	0.732
1	hpc	1089	0.263
1	hpc	1090	0.868
1	hpc	1091	0.183
1	hpc	1092	0.554
1	hpc	1093	0.965
1	hpc	1094	0.634
1	hpc	1095	0.898
1	hpc	1096	0.313
1	hpc	1097	0.95
1	hpc	1098	0.567
1	hpc	1099	0.28
1	hpc	1100	0.307
1	hpc	1101	0.779
1	hpc	1102	0.352
1	hpc	1103	0.615
1	hpc	1104	0.031
1	hpc	1105	0.967
1	hpc	1106	0.526
1	hpc	1107	0.709
1	hpc	1108	0.983
1	hpc	1109	0.895
1	hpc	1110	0.553
1	hpc	1111	0.357
1	hpc	1112	0.747
1	hpc	1113	0.312
1	hpc	1114	0.005
1	hpc	1115	0.959
1	hpc	1116	0.055
1	hpc	1117	0.827
1	hpc	1118	0.163
1	hpc	1119	0.3
1	hpc	1120	0.608
1	hpc	1121	0.475
1	hpc	1122	0.128
1	hpc	1123	0.573
1	hpc	1124	0.951
1	hpc	1125	0.779
1	hpc	1126	0.634
1	hpc	1127	0.315
1	hpc	1128	0.606
1	hpc	1129	0.172
1	hpc	1130	0.722
1	hpc	1131	0.204
1	hpc	1132	0.102
1	hpc	1133	0.524
1	hpc	1134	0.595
1	hpc	1135	0.627
1	hpc	1136	0.874
1	hpc	1137	0.074
1	hpc	1138	0.597
1	hpc	1139	0.889
1	hpc	1140	0.057
1	hpc	1141	0.59
1	hpc	1142	0.073
1	hpc	1143	0.02
1	hpc	1144	0.855
1	hpc	1145	0.688
1	hpc	1146	0.612
1	hpc	1147	0.457
1	hpc	1148	0.887
1	hpc	1149	0.416
1	hpc	1150	0.108
1	hpc	1151	0.911
1	hpc	1152	0.957
